target_rps,throughput_rps,duration_s,requests,success,failed,error_pct,p50_ms,p95_ms,p99_ms,max_ms
"5",3.09,29.8,150,123,27,18,7048.69,10001.25,10001.4,10001.4
"10",1.23,29.9,300,49,251,83.67,10000.34,10001.33,10001.61,10001.87
"25",0.7,29.96,750,28,722,96.27,10000.41,10001.37,10001.67,10014.6
"50",0.3,29.98,1500,12,1488,99.2,10000.35,10001.36,10004.03,10026.22
"75",0.78,29.99,2250,31,2219,98.62,10000.22,10001.24,10001.31,10001.56
"100",0.43,29.99,3000,17,2983,99.43,10000.33,10001.27,10002.05,10011.02
"150",0.28,29.99,4500,11,4489,99.76,10000.25,10000.96,10001.17,10007.97
"200",0.5,29.99,6000,20,5980,99.67,10000.23,10000.83,10002.45,10025.26
"300",0.43,30,9000,17,8983,99.81,10000.19,10000.57,10001.33,10012.68
"400",0.43,30,12000,17,11983,99.86,10000.18,10000.59,10002.14,10041.26
